ID,Item Name,GL Code,Catalog,Category,Menus,Stock,Cost,Price
225103,Buffalo Wing WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,4.47,7.99
225104,Garlic & Dill WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,-6,4.47,7.99
225105,Cajun WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,4.47,7.99
225106,Hot Pepper WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,4.47,7.99
225107,Bloody Mary WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.47,9.99
225109,Ranch WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.47,8.99
225111,Classic WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,-5,4.47,7.99
225113,Jamaican Jerk WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.47,7.99
225114,Cheddar Cheese Brothers,Sale of Goods,Food & Beverage,Food: Snacks,,1,0.99,1.99
225116,Onion & Chive Cheese Spread,Food & Beverage,Food & Beverage,Food: Snacks,,0,4.47,8.99
225117,Cranberry Walnut Cheese Spread,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,4.47,8.99
225118,Beer Cheddar Cheese Spread,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.47,8.99
225292,Huckleberry White Chocolate Biscott,Sale of Goods,Food & Beverage,Food: Snacks,,8,1.65,3.49
225294,It's My Birthday Biscotti,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.65,3.49
225305,Olipop Watermelon Lime,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,35,1.86,3.99
225306,Olipop Cherry Cola,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,6,1.86,3.99
225314,Topo-Chico Twist & Lime,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,18,1.5,2.99
228885,Lovely Bunch Apple Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,62,3.06,5.99
228886,Lovely Bunch Sparkling Apple Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,14,3.06,5.99
228888,Tara Strawberry Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,2.14,4.99
228890,Tara Peach Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,3,2.14,4.99
228892,Tara Dragon Fuit Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,30,2.14,4.99
228894,Tara Passionfruit Juice,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,2.14,4.99
228985,Ota Tofu,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,2.27,3.99
228998,Chobani Yogurt 4oz,Sale of Goods,Food & Beverage,Food: Breakfast Meals & Ingredients,,0,8,1.59
228999,Chobani Mixed Berry 5.3oz,Sale of Goods,Food & Beverage,Food: Breakfast Meals & Ingredients,,3,1.69,2.99
229005,Chobani Raspberry 5.3oz,Sale of Goods,Food & Beverage,Food: Breakfast Meals & Ingredients,,4,1.69,2.99
229027,Chocolate Milk Qt 2%,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,6,6,3.79
229080,HM Dragon Fruit Kombucha,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,7,2.2,4.49
229081,HM Lavender White Kombucha,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,-3,2.2,4.49
229195,Nicos BBQ Korean Seaweed Snack,Sale of Goods,Food & Beverage,Food: Snacks,,-12,0.33,0.5
230649,Rambler Blackberry,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,9,1.56,2.99
230877,Riffs VooDoo Child Spicy Hot Sauce,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,8,4.25,5.99
231108,Wood's Maple Sprinkles,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,9.85,19.99
231109,Wood's Maple Candy Leaves,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,6,2,3.99
231493,Riffs Sweet Child O' Mine BBQ Sauce,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,0,4.25,6.99
231497,Riffs Bacon Raspberry Chipotle,Sale of Goods,Food & Beverage,Food: Snacks,,29,1.43,2.79
231501,Riffs Bacon Habanero Heat,Sale of Goods,Food & Beverage,Food: Snacks,,10,1.43,2.79
231505,Riffs Red Curry Bacon,Sale of Goods,Food & Beverage,Food: Snacks,,6,1.43,2.79
231508,Riffs Sweet & Spicy Bacon,Sale of Goods,Food & Beverage,Food: Snacks,,44,1.43,2.79
231511,Riffs Sweet Bacon,Sale of Goods,Food & Beverage,Food: Snacks,,33,1.43,2.79
231934,Painted Hills Beef Patties 6ct,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,9,11.78,19.99
231935,Applegate Organic Beef Hot Dog 10oz,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,5.69,11.99
232891,Wild Bills Strawberry Cream,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,1.91,3.99
232893,Wild Bills Sarsaparilla,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,4,1.91,3.99
232894,Wild Bills Mojito Soda,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,2,1.91,3.99
232896,Wild Bills Ginger Ale,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,2,1.91,3.99
232915,Oil and Vinegar Pistachio Nougat,Sale of Goods,Food & Beverage,Food: Snacks,,23,3.85,8.49
232918,Oil and Vinegar Limoncello Nougat,Sale of Goods,Food & Beverage,Food: Snacks,,27,3.85,8.49
232934,Oil and Vinegar Fine Fish Rub,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,2,4.65,7.99
232938,Oil and Vinegar Smoky BBQ mix,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,5.4,8.99
232941,Oil and Vinegar Bruschetta Original,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,3,5.95,9.99
232944,Oil and Vinegar Truffle Honey,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,6,5.95,13.99
233493,Cormier's Gold Double Garlic,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,4,4.25,4.99
233494,Cormier's Gold Orange Burst,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,7,4.25,4.99
233495,Cormier's Gold Garlic And Ginger,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,4.25,4.99
233531,California Crisp Pineapple Ruby,Sale of Goods,Food & Beverage,Food: Snacks,,2,1.99,2.5
234360,Ramune Yuzu Drink,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,7,2.9,5.99
235169,SAP! Sparkling Birch Water,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,5,1.98,3.99
235170,SAP! Sparkling Maple water,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,4,1.98,3.99
235171,SAP! Maple Soda,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,2,2.07,3.99
235172,SAP! Tangerine Birch Water with Cha,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,5,1.9,3.99
235247,G & W Maple Sugar and Spice,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,28,4.5,9.99
235248,G & W Maple Herb Seasoning,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,14,4.5,9.99
235249,G & W Maple BBQ Rub,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,11,4.5,9.99
235383,Casamara Club Sera,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,2.97,4.5
235385,Casamara Club Onda,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,7,2.97,4.5
236086,Oil and Vinegar Raspberry Nougat,Sale of Goods,Food & Beverage,Food: Snacks,,54,3.15,8.49
236156,Lup Sparkling Hop Water,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,14,1.75,3.99
236377,Rain water,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,97,1.26,2.99
241370,Potter's Crackers Classic White,Sale of Goods,Food & Beverage,Food: Snacks,,13,4.18,7.49
241371,Potter's Crackers Applewood Smoked,Sale of Goods,Food & Beverage,Food: Snacks,,17,4.18,7.49
241373,Potter's Crackers Caramelized Onion,Sale of Goods,Food & Beverage,Food: Snacks,,19,4.18,7.49
241375,TomBumble Smooth,Sale of Goods,Food & Beverage,Food: Snacks,,27,1.67,3.99
241377,EZRA CASH,Sale of Goods,Food & Beverage,Food: Snacks,,0,2.75,5.5
241379,HAZEL JONES,Sale of Goods,Food & Beverage,Food: Snacks,,8,2.75,5.5
241848,V’s Chocolate Banana Muffin,Sale of Goods,Cafe,Food: Deserts,,0,2,4
242256,Tom Bumble Nutty,Sale of Goods,Food & Beverage,Food: Snacks,,7,1.54,3.99
242343,LM Mango Ice Cream,Food & Beverage,Food & Beverage,Food: Snacks,,0,1.27,3.49
243722,DF coffee cookie crumble McConnells,Sale of Goods,Food & Beverage,Food: Snacks,,0,9.9,14.99
243733,Magnum Double Caramel Bar,Sale of Goods,Food & Beverage,Food: Snacks,,0,2.25,3.99
243996,Daoher Shaken Tea Strawberry Jasmin,Food & Beverage,Food & Beverage,Beverage: Coffee & Tea,,14,1.42,2.99
244008,Califia Oat Milk Barista Blends,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,-3,3.63,6.99
